Crude_Blend,API_Gravity,Inlet_BSW,Inlet_Salt_PTB,Target_Risk_Class
Arab Light,35.0,1.14,17.02,Medium
Arab Light,32.71,0.993,20.61,Low
Arab Light,36.65,1.101,20.8,Low
Basrah Heavy,26.79,2.39,18.84,High
Basrah Heavy,28.38,0.733,10.0,Low
Basrah Heavy,29.69,1.073,19.79,Low
Basrah Heavy,24.39,1.048,20.28,Medium
Bonny Light,40.86,1.164,10.0,Low
Arab Light,35.04,0.788,17.29,Low
Arab Light,36.43,0.524,11.69,High
Arab Light,35.16,1.997,22.72,Medium
Arab Light,37.94,0.569,27.97,Low
Arab Light,37.02,0.449,10.39,Low
Bonny Light,41.98,0.317,10.0,Low
Bonny Light,43.66,0.387,17.42,Low
Arab Light,32.84,1.077,22.94,Low
Basrah Heavy,27.35,1.053,28.44,Medium
Arab Light,37.22,0.658,18.7,Low
Arab Light,35.62,0.899,20.4,Low
Arab Light,35.55,1.409,19.82,Medium
Ural,28.79,1.482,42.39,High
Arab Light,33.88,0.816,10.0,Low
Basrah Heavy,22.96,1.562,24.85,High
Basrah Heavy,28.78,1.728,15.31,Medium
Arab Light,31.42,2.072,25.3,Medium
Basrah Heavy,22.62,1.164,17.53,Medium
Basrah Heavy,26.47,2.167,26.07,High
Ural,32.22,0.986,10.0,Low
Arab Light,33.34,0.582,10.0,Low
Basrah Heavy,23.3,0.883,41.96,High
Arab Light,32.7,1.705,23.1,Low
Ural,29.94,2.071,33.57,Medium
Basrah Heavy,24.03,1.33,21.9,High
Ural,35.65,0.817,36.07,Low
Bonny Light,44.63,0.164,11.74,Low
Arab Light,34.11,1.278,19.57,Low
Ural,27.34,1.398,11.59,Medium
Basrah Heavy,21.65,1.031,10.0,Medium
Bonny Light,40.38,0.621,10.0,Low
Arab Light,34.91,0.57,11.24,Low
Bonny Light,40.08,0.725,10.0,Low
Arab Light,37.06,0.541,13.15,Low
Basrah Heavy,28.2,1.527,21.29,High
Basrah Heavy,21.77,1.407,35.94,High
Ural,29.31,0.562,32.18,Low
Arab Light,37.15,1.111,23.66,Low
Basrah Heavy,27.35,2.038,31.59,High
Ural,34.06,0.818,25.18,Low
Bonny Light,41.76,0.539,15.24,Low
Arab Light,32.15,1.287,29.6,Low
Arab Light,31.07,1.383,11.06,Low
Basrah Heavy,27.85,2.5,36.4,High
Ural,31.06,1.358,12.23,Medium
Basrah Heavy,24.85,1.386,13.13,Medium
Bonny Light,39.81,0.713,24.17,Low
Arab Light,37.22,0.671,10.0,Low
Arab Light,35.41,0.617,10.0,Low
Basrah Heavy,29.84,1.918,27.55,Medium
Basrah Heavy,28.19,1.636,16.25,Medium
Ural,28.95,0.682,10.0,Medium
Arab Light,31.02,0.926,10.0,Low
Arab Light,32.85,1.381,16.23,Low
Bonny Light,37.95,0.424,17.66,Low
Bonny Light,42.69,0.33,18.42,Low
Bonny Light,42.25,1.163,15.92,Medium
Basrah Heavy,20.99,1.619,37.24,High
Arab Light,39.08,0.965,20.07,Low
Bonny Light,38.83,1.144,27.9,Low
Arab Light,33.8,0.727,10.16,Low
Basrah Heavy,25.62,1.67,19.56,Medium
Ural,32.01,2.288,25.63,Low
Arab Light,35.78,1.024,14.12,Medium
Arab Light,29.23,2.5,15.16,Medium
Bonny Light,41.47,0.406,11.56,Low
Arab Light,34.12,1.835,26.13,Low
Arab Light,29.89,1.256,20.74,Medium
Arab Light,35.81,0.776,32.73,Low
Arab Light,38.4,0.881,34.72,Low
Basrah Heavy,27.19,1.367,10.0,Medium
Ural,29.32,1.248,31.72,Low
Ural,36.04,1.014,33.49,Low
Basrah Heavy,23.07,0.895,10.0,Medium
Basrah Heavy,24.27,1.216,24.04,High
Bonny Light,40.06,0.77,14.97,Low
Basrah Heavy,25.7,2.146,41.24,Medium
Arab Light,36.91,0.906,30.93,Low
Arab Light,34.04,1.083,50.54,Medium
Ural,34.15,1.124,23.64,Low
Basrah Heavy,24.58,2.221,30.92,Low
Ural,30.46,0.736,10.0,Low
Arab Light,30.84,0.994,12.89,Low
Arab Light,31.65,1.107,22.12,Low
Basrah Heavy,22.44,1.847,19.57,High
Arab Light,35.81,0.416,11.8,Low
Arab Light,37.58,0.487,10.0,Low
Basrah Heavy,22.52,1.71,23.42,High
Basrah Heavy,31.28,1.653,10.35,Medium
Basrah Heavy,24.03,1.402,29.58,High
Basrah Heavy,25.8,1.196,19.54,Medium
Basrah Heavy,23.82,1.97,20.04,Medium
Bonny Light,41.05,0.477,10.87,Low
Arab Light,38.1,0.985,12.6,Low
Ural,31.51,1.06,11.28,Medium
Bonny Light,43.48,0.257,10.0,Low
Basrah Heavy,27.77,2.276,24.08,High
Ural,31.35,1.781,21.13,Low
Bonny Light,40.93,0.388,10.0,Low
Arab Light,31.68,1.303,29.68,High
Arab Light,38.25,0.637,24.59,Low
Arab Light,34.48,1.186,17.81,Low
Basrah Heavy,24.07,1.193,37.62,High
Arab Light,35.35,1.22,15.86,Medium
Bonny Light,40.17,0.898,16.37,Low
Bonny Light,36.85,0.577,16.96,Low
Basrah Heavy,28.71,1.356,20.03,Medium
Ural,33.93,1.516,16.4,Medium
Basrah Heavy,26.01,1.054,17.12,Medium
Bonny Light,41.86,0.382,10.0,Low
Basrah Heavy,20.97,2.293,21.14,High
Bonny Light,41.46,0.481,20.47,Low
Ural,31.94,0.644,44.55,Medium
Basrah Heavy,23.3,1.493,15.99,Medium
Basrah Heavy,25.71,2.5,27.45,High
Ural,32.22,2.264,25.08,Medium
Basrah Heavy,24.08,1.296,20.91,Medium
Arab Light,35.19,0.661,23.45,Low
Bonny Light,43.87,0.302,11.44,Low
Arab Light,33.72,1.886,15.1,Medium
Arab Light,33.2,1.392,15.67,Low
Arab Light,33.85,1.662,25.13,Low
Basrah Heavy,26.92,2.04,22.42,High
Bonny Light,40.3,0.367,10.0,Low
Basrah Heavy,27.25,1.017,14.43,Medium
Basrah Heavy,24.72,1.238,18.07,High
Basrah Heavy,23.84,1.362,13.29,Medium
Bonny Light,40.76,0.436,19.86,Low
Basrah Heavy,22.25,1.427,11.56,High
Bonny Light,43.18,0.499,15.0,Low
Ural,30.91,1.241,14.81,Low
Ural,34.74,1.438,20.67,Low
Bonny Light,40.47,0.625,26.42,Low
Ural,33.72,0.792,27.4,Low
Bonny Light,39.45,0.681,23.31,Low
Basrah Heavy,22.62,1.01,31.75,Medium
Ural,33.74,0.446,40.02,Low
Arab Light,37.39,0.963,24.35,Low
Arab Light,31.02,1.68,26.33,Medium
Bonny Light,38.68,0.704,10.0,Low
Bonny Light,39.58,0.548,18.34,Medium
Ural,26.19,0.929,16.79,Medium
Arab Light,35.95,1.295,36.7,Low
Arab Light,36.3,0.996,23.65,Low
Arab Light,38.66,0.761,10.0,Low
Arab Light,35.48,0.89,18.11,Low
Arab Light,32.11,0.939,24.55,Low
Basrah Heavy,23.52,1.122,18.28,Medium
Basrah Heavy,23.8,1.79,46.86,High
Ural,32.03,0.921,22.59,Low
Arab Light,29.9,1.076,11.27,Low
Bonny Light,41.89,0.878,10.0,Low
Arab Light,36.68,0.801,10.0,Low
Basrah Heavy,23.86,0.693,10.62,Medium
Basrah Heavy,22.45,1.43,20.49,Low
Basrah Heavy,24.38,1.128,20.77,Medium
Bonny Light,38.18,0.684,26.89,Low
Basrah Heavy,20.25,1.133,25.82,Medium
Arab Light,35.7,1.021,14.47,Low
Bonny Light,39.57,0.568,10.7,Low
Bonny Light,40.56,0.479,19.7,Low
Basrah Heavy,23.24,1.764,19.38,High
Basrah Heavy,25.06,1.516,25.65,High
Basrah Heavy,22.86,1.62,12.41,High
Basrah Heavy,21.53,1.649,25.53,Medium
Basrah Heavy,29.32,1.276,21.19,Medium
Arab Light,33.87,1.121,14.19,Low
Bonny Light,40.5,0.615,10.0,Low
Arab Light,31.88,1.664,13.18,Low
Arab Light,37.93,0.606,14.81,Low
Basrah Heavy,25.89,1.635,24.94,Medium
Ural,30.57,2.5,16.85,Low
Arab Light,30.79,1.174,10.0,Medium
Bonny Light,42.84,0.42,10.0,Low
Bonny Light,40.23,0.377,10.0,High
Basrah Heavy,23.14,1.309,14.24,High
Basrah Heavy,27.71,1.337,21.14,Medium
Basrah Heavy,26.42,1.772,32.25,High
Arab Light,34.7,1.181,27.65,Low
Bonny Light,44.22,0.372,16.91,Low
Arab Light,32.86,1.403,28.94,Low
Ural,32.14,0.779,10.0,Low
Arab Light,36.96,0.945,21.62,Low
Basrah Heavy,25.09,1.563,28.07,High
Basrah Heavy,29.16,1.353,10.0,Medium
Ural,29.36,1.13,30.52,Low
Ural,34.57,0.68,21.2,Low
Arab Light,38.97,0.436,10.0,Low
Basrah Heavy,22.82,1.903,13.12,High
Ural,28.0,1.63,23.38,Medium
Basrah Heavy,23.33,1.594,19.21,High
Bonny Light,43.16,0.398,10.0,Low
Basrah Heavy,28.46,1.041,17.06,Medium
Basrah Heavy,24.04,1.935,20.9,Medium
Arab Light,32.34,1.115,24.94,Medium
Arab Light,36.5,0.727,10.0,Low
Arab Light,34.76,1.269,27.31,Low
Arab Light,34.87,1.166,17.55,Low
Bonny Light,42.16,0.271,15.83,Low
Arab Light,34.56,0.966,30.39,Low
Arab Light,32.97,0.752,17.7,Low
Arab Light,36.65,0.857,23.73,Low
Basrah Heavy,28.91,0.435,10.0,Low
Arab Light,33.34,1.101,10.0,Low
Basrah Heavy,24.25,2.065,22.97,High
Arab Light,35.68,0.845,10.85,Low
Basrah Heavy,23.43,1.105,21.47,Medium
Bonny Light,38.35,1.403,23.97,Medium
Arab Light,36.96,1.194,29.13,Low
Bonny Light,38.9,0.558,12.28,Low
Arab Light,34.87,0.849,10.0,Medium
Basrah Heavy,22.97,0.845,26.48,High
Ural,30.76,1.408,30.39,Low
Arab Light,36.73,0.502,10.04,Low
Ural,28.39,1.698,33.05,High
Arab Light,33.39,1.467,10.7,Medium
Arab Light,37.08,0.77,12.81,Low
Bonny Light,38.91,0.463,10.0,Low
Arab Light,35.33,1.395,27.88,Low
Basrah Heavy,23.27,1.673,17.69,High
Ural,28.72,1.367,29.01,Medium
Ural,35.26,0.653,10.0,Low
Bonny Light,40.2,0.63,36.47,Low
Arab Light,31.61,1.061,14.62,Low
Arab Light,37.27,0.488,10.0,Low
Ural,32.53,1.726,29.8,Low
Arab Light,37.07,1.461,23.71,Low
Ural,35.86,1.238,16.17,Low
Arab Light,30.83,1.611,18.24,Medium
Basrah Heavy,21.88,2.5,44.51,High
Ural,29.38,0.888,14.7,Medium
Basrah Heavy,25.9,1.038,16.27,Medium
Basrah Heavy,27.5,1.212,10.83,Low
Arab Light,33.06,1.161,31.2,Medium
Ural,31.7,1.023,10.78,Medium
Bonny Light,42.25,0.321,10.0,Low
Basrah Heavy,23.52,1.659,30.57,High
Basrah Heavy,29.45,1.235,10.0,Medium
Bonny Light,41.59,0.672,15.06,Low
Basrah Heavy,26.09,1.515,17.64,Medium
Basrah Heavy,20.76,0.941,14.48,High
Basrah Heavy,24.53,1.821,17.3,Medium
Arab Light,34.4,1.67,17.56,Medium
Bonny Light,39.39,0.648,10.0,Low
Ural,34.54,1.344,26.67,Low
Ural,28.0,1.148,15.46,Medium
Basrah Heavy,28.68,1.616,31.05,Medium
Arab Light,33.25,0.797,39.88,Low
Arab Light,36.63,0.75,10.0,Low
Basrah Heavy,23.5,1.525,26.05,Medium
Basrah Heavy,21.85,2.083,18.45,High
Basrah Heavy,28.98,0.979,11.23,Low
Basrah Heavy,25.21,0.927,14.98,Medium
Arab Light,34.26,1.142,38.85,Low
Ural,28.97,1.521,18.02,Medium
Basrah Heavy,25.32,1.603,20.43,High
Arab Light,35.18,1.262,20.14,Low
Ural,31.62,1.06,15.74,Low
Ural,34.93,1.022,10.0,Low
Ural,27.06,1.265,29.18,High
Arab Light,31.86,1.025,13.23,Low
Ural,26.76,1.632,12.34,High
Basrah Heavy,20.91,2.5,31.15,High
Arab Light,32.75,1.382,30.87,Medium
Basrah Heavy,26.09,1.807,17.12,High
Arab Light,31.33,1.516,18.61,Low
Arab Light,33.07,0.46,11.22,Low
Basrah Heavy,22.73,1.908,19.93,Medium
Ural,36.02,1.178,17.66,Low
Basrah Heavy,23.35,1.717,38.05,High
Basrah Heavy,30.05,1.22,18.18,Medium
Basrah Heavy,22.85,1.223,22.39,High
Arab Light,32.82,0.912,12.7,Low
Basrah Heavy,25.77,1.13,19.55,Medium
Arab Light,34.85,1.321,22.25,High
Basrah Heavy,25.07,2.5,35.48,High
Ural,27.4,2.5,25.03,Medium
Bonny Light,42.15,0.345,10.0,Low
Arab Light,34.96,0.732,22.0,Low
Arab Light,28.64,1.022,13.55,Medium
Bonny Light,43.19,0.279,10.0,High
Bonny Light,39.88,0.429,10.0,Low
Arab Light,38.45,0.585,20.37,Medium
Bonny Light,43.72,0.494,21.32,Low
Bonny Light,35.49,0.693,19.3,Low
Ural,28.87,1.899,34.63,High
Arab Light,39.35,1.039,31.82,Low
Basrah Heavy,28.54,1.475,42.79,Medium
Basrah Heavy,21.57,2.5,34.84,High
Arab Light,38.6,0.429,10.31,Low
Arab Light,34.01,0.81,10.0,Low
Arab Light,31.89,1.198,10.5,Low
Arab Light,32.23,1.188,12.55,High
Arab Light,35.42,1.476,29.84,Low
Ural,32.52,0.762,10.0,Medium
Basrah Heavy,24.66,1.312,13.89,High
Basrah Heavy,20.62,1.788,18.36,Medium
Ural,31.12,0.976,15.92,Low
Ural,28.3,0.937,18.13,Low
Bonny Light,39.22,0.552,14.74,Low
Bonny Light,38.75,0.626,10.0,Low
Bonny Light,43.55,0.622,22.07,Low
Basrah Heavy,24.0,1.137,16.72,Medium
Arab Light,35.45,1.188,25.19,Medium
Basrah Heavy,25.68,2.369,27.99,Medium
Arab Light,34.55,0.794,10.27,Low
Bonny Light,41.49,0.555,10.0,Low
Basrah Heavy,25.54,1.868,17.67,High
Arab Light,34.27,1.118,10.0,Medium
Basrah Heavy,24.39,1.647,22.96,High
Basrah Heavy,25.18,1.222,11.7,High
Basrah Heavy,27.57,1.762,14.24,Medium
Basrah Heavy,24.1,1.42,26.59,High
Bonny Light,44.2,0.337,22.97,Low
Arab Light,33.3,1.096,12.18,Low
Ural,28.74,1.784,59.92,Medium
Ural,32.36,2.142,32.22,Low
Basrah Heavy,21.27,1.39,20.73,Medium
Basrah Heavy,23.16,1.71,11.03,High
Ural,35.86,0.516,16.14,Low
Basrah Heavy,25.61,2.5,21.07,High
Bonny Light,38.06,0.737,10.0,Low
Basrah Heavy,23.02,1.52,25.68,High
Ural,27.51,1.427,39.32,Medium
Ural,31.17,1.209,19.57,Low
Basrah Heavy,25.88,1.165,26.44,Medium
Basrah Heavy,23.78,2.485,46.8,High
Bonny Light,37.6,0.947,10.0,Low
Basrah Heavy,27.85,1.815,28.27,Medium
Arab Light,34.11,0.771,26.88,Low
Arab Light,35.14,0.706,24.25,Low
Basrah Heavy,23.67,1.582,32.36,High
Ural,37.62,0.998,12.8,Medium
Ural,33.45,1.217,20.82,Low
Arab Light,32.41,0.828,27.48,Medium
Ural,32.67,1.353,24.09,Low
Basrah Heavy,25.95,1.068,10.0,Medium
Basrah Heavy,29.05,1.033,10.0,Medium
Arab Light,35.46,0.943,26.55,Low
Bonny Light,43.3,0.259,10.0,Low
Basrah Heavy,21.5,1.274,24.03,Medium
Basrah Heavy,24.37,2.5,35.93,High
Arab Light,37.36,1.243,22.0,Low
Ural,30.88,2.5,35.99,Low
Basrah Heavy,24.38,1.875,30.81,High
Arab Light,37.47,0.957,10.0,Low
Ural,31.36,1.094,10.0,Low
Arab Light,33.27,0.913,10.78,Low
Basrah Heavy,25.31,2.092,29.03,High
Basrah Heavy,25.51,2.462,31.11,High
Arab Light,37.88,0.971,10.0,Low
Arab Light,36.64,0.609,26.51,Low
Bonny Light,39.86,0.701,38.97,Low
Arab Light,34.75,0.716,21.19,Low
Ural,28.11,1.216,20.61,Medium
Bonny Light,40.89,0.966,19.77,Low
Arab Light,34.56,0.624,10.0,Low
Arab Light,36.36,1.783,14.51,Medium
Bonny Light,43.49,0.459,20.88,Low
Basrah Heavy,21.22,1.532,27.9,High
Ural,32.47,1.11,26.42,Medium
Ural,36.51,0.649,16.54,Low
Basrah Heavy,22.89,1.401,11.23,High
Arab Light,37.12,0.807,10.0,Low
Basrah Heavy,26.06,1.331,12.51,Medium
Basrah Heavy,21.7,1.279,33.53,High
Arab Light,29.09,1.203,10.0,Medium
Basrah Heavy,27.83,0.871,14.3,Medium
Ural,36.65,0.523,10.0,Medium
Bonny Light,42.05,0.301,10.0,Low
Ural,29.35,2.303,31.52,Medium
Basrah Heavy,26.12,1.717,37.31,High
Basrah Heavy,24.13,1.992,24.33,Medium
Basrah Heavy,24.66,1.589,11.13,Medium
Basrah Heavy,23.65,1.967,22.14,High
Bonny Light,37.88,1.113,13.22,Medium
Arab Light,35.71,1.011,14.28,Low
Basrah Heavy,24.37,2.5,27.35,High
Ural,34.48,0.943,33.94,Low
Arab Light,35.73,1.079,20.8,Low
Basrah Heavy,21.63,2.273,30.62,High
Basrah Heavy,25.73,1.093,12.93,Medium
Arab Light,36.36,0.847,23.73,Low
Ural,35.65,0.462,22.04,Low
Basrah Heavy,27.47,1.341,24.82,Medium
Bonny Light,42.42,0.406,15.85,Low
Bonny Light,41.05,0.475,10.0,Low
Ural,33.95,0.857,18.48,Low
Basrah Heavy,25.75,1.81,36.79,High
Basrah Heavy,23.57,1.212,21.95,High
Bonny Light,37.76,1.429,27.01,Medium
Basrah Heavy,24.29,1.96,22.16,High
Arab Light,36.29,0.634,10.0,Low
Ural,30.69,1.502,13.23,Low
Basrah Heavy,25.35,2.18,37.61,High
Ural,32.01,1.267,17.9,Low
Bonny Light,40.51,0.4,21.66,Low
Ural,28.04,2.5,25.66,Medium
Arab Light,30.34,1.526,31.6,Medium
Bonny Light,43.71,0.236,10.46,Low
Arab Light,30.58,1.296,16.62,Low
Ural,31.93,1.035,14.5,Low
Ural,29.27,1.291,26.97,Low
Ural,32.02,0.732,17.82,High
Basrah Heavy,28.2,1.383,27.79,Medium
Basrah Heavy,24.62,1.185,31.77,High
Basrah Heavy,25.56,1.35,18.04,Medium
Arab Light,29.66,1.447,25.89,Low
Arab Light,30.03,1.049,16.51,Low
Arab Light,38.86,0.61,10.4,Low
Arab Light,37.25,1.037,20.58,Low
Ural,31.77,0.827,10.0,Low
Bonny Light,42.47,0.354,10.0,Low
Basrah Heavy,27.59,0.9,25.01,Medium
Ural,30.96,0.885,18.21,Low
Ural,32.44,1.136,13.07,Low
Arab Light,35.9,1.081,20.1,Medium
Basrah Heavy,23.08,1.27,10.0,Medium
Ural,31.31,1.433,12.53,Medium
Bonny Light,40.73,0.576,10.0,Low
Ural,33.85,0.613,10.0,Low
Bonny Light,43.16,0.425,10.36,Low
Bonny Light,40.03,0.911,18.6,Low
Arab Light,34.97,0.476,46.07,Low
Arab Light,34.43,1.933,35.09,Low
Arab Light,34.56,0.767,10.0,Low
Bonny Light,38.37,0.397,30.78,Low
Basrah Heavy,24.41,1.678,17.54,High
Arab Light,35.79,1.165,22.78,Medium
Bonny Light,42.76,0.386,10.22,High
Basrah Heavy,24.22,1.797,41.45,High
Ural,30.86,2.492,38.57,Medium
Arab Light,32.31,1.175,34.66,Medium
Bonny Light,36.76,2.298,32.68,Medium
Bonny Light,41.7,0.768,11.41,Low
Basrah Heavy,29.38,1.305,25.96,Medium
Ural,27.86,1.527,34.42,Medium
Basrah Heavy,24.38,1.432,14.54,High
Arab Light,34.67,1.029,20.9,Low
Ural,32.39,1.325,27.86,Low
Ural,28.83,1.143,13.93,Low
Basrah Heavy,24.27,0.992,14.19,Medium
Basrah Heavy,23.77,2.5,28.62,High
Ural,34.16,1.372,23.89,Medium
Arab Light,33.07,0.637,14.07,Low
Arab Light,34.93,0.983,17.9,Low
Basrah Heavy,22.68,2.449,47.81,High
Basrah Heavy,22.46,2.382,28.4,High
Bonny Light,43.34,0.305,27.29,Low
Basrah Heavy,25.9,2.121,51.93,High
Arab Light,32.37,1.096,12.37,Low
Bonny Light,39.44,0.731,24.73,Low
Basrah Heavy,24.58,1.151,15.03,High
Ural,30.68,0.27,20.31,Low
Basrah Heavy,21.12,1.379,16.68,Medium
Bonny Light,39.32,0.779,10.0,Low
Ural,34.61,0.881,23.53,Low
Bonny Light,42.33,0.569,14.56,Low
Basrah Heavy,28.56,1.964,38.32,Low
Arab Light,28.89,1.169,14.85,Medium
Ural,32.19,0.948,16.37,Low
Basrah Heavy,23.8,0.762,11.14,Medium
Basrah Heavy,26.27,0.861,10.0,Medium
Basrah Heavy,24.35,1.003,20.41,Medium
Bonny Light,42.4,0.545,12.91,Low
Ural,34.42,0.857,10.0,Low
Arab Light,34.37,0.798,29.9,Low
Ural,31.41,0.918,17.17,Low
Arab Light,35.37,0.684,10.31,Low
Arab Light,34.28,1.337,27.45,Low
Arab Light,31.89,1.158,29.27,Low
Arab Light,35.17,1.289,11.78,Low
Basrah Heavy,27.05,0.664,10.0,Low
Bonny Light,38.59,0.834,12.87,Low
Ural,28.49,1.13,22.12,Medium
Basrah Heavy,20.87,1.654,38.73,High
Arab Light,32.88,1.698,10.0,Low
Basrah Heavy,27.06,1.247,40.36,Medium
Bonny Light,38.18,0.853,17.48,Low
Bonny Light,42.54,0.308,25.08,High
Bonny Light,42.79,0.429,24.9,Low
Basrah Heavy,27.12,0.817,15.29,Medium
Basrah Heavy,23.45,1.628,19.32,High
Basrah Heavy,22.61,1.962,29.72,High
Basrah Heavy,24.6,2.337,30.12,High
Basrah Heavy,25.19,1.164,13.9,Medium
Basrah Heavy,23.52,1.376,20.06,Medium
Bonny Light,38.39,0.563,11.08,Low
Basrah Heavy,21.86,1.612,22.79,High
Basrah Heavy,24.12,1.154,29.21,Medium
Ural,32.75,0.501,10.49,Low
Arab Light,31.92,0.777,17.96,Low
Ural,28.17,1.336,19.56,Medium
Arab Light,37.39,0.73,14.31,Low
Bonny Light,44.26,0.4,10.3,Low
Arab Light,31.09,1.574,26.8,Medium
Arab Light,33.91,0.847,10.0,Low
Ural,30.45,0.696,19.58,Low
Arab Light,35.35,1.036,19.58,Low
Basrah Heavy,24.06,1.616,23.87,High
Arab Light,35.21,0.83,22.23,Low
Basrah Heavy,25.99,2.296,16.49,Medium
Ural,27.08,1.672,32.92,Medium
Basrah Heavy,25.55,1.593,20.2,High
Basrah Heavy,26.58,1.547,19.39,Medium
Basrah Heavy,29.53,1.712,16.92,Medium
Ural,34.43,0.753,10.0,Low
Basrah Heavy,24.96,1.149,10.0,Medium
Ural,36.27,0.774,16.01,Low
Bonny Light,38.56,0.46,10.0,Low
Basrah Heavy,27.58,1.374,28.56,Medium
Ural,30.7,1.238,22.38,Low
Basrah Heavy,22.6,1.674,24.66,High
Basrah Heavy,22.79,1.5,18.24,High
Ural,31.38,2.057,24.65,Medium
Bonny Light,42.94,0.575,30.45,Low
Basrah Heavy,28.24,1.309,16.56,Medium
Arab Light,38.21,0.74,10.0,Low
Basrah Heavy,23.3,2.5,27.94,High
Arab Light,34.07,0.8,10.0,Low
Arab Light,34.67,0.672,12.12,Low
Arab Light,35.15,0.988,17.42,Low
Arab Light,32.54,1.247,12.54,Low
Basrah Heavy,26.22,1.76,11.97,High
Ural,32.72,1.426,19.23,Medium
Ural,32.43,0.84,30.13,Low
Ural,36.51,0.504,12.79,Low
Basrah Heavy,20.03,1.532,24.03,Medium
Arab Light,36.69,0.997,14.52,Medium
Arab Light,33.86,0.72,18.74,Low
Basrah Heavy,28.22,0.689,21.19,Medium
Basrah Heavy,21.25,1.895,35.7,Medium
Arab Light,35.42,0.734,30.61,Medium
Ural,33.03,0.572,16.41,Low
Basrah Heavy,28.44,1.377,31.97,Medium
Ural,34.33,0.843,24.28,Low
Arab Light,31.43,2.068,30.27,Medium
Ural,33.12,1.075,17.56,Medium
Arab Light,32.66,1.315,10.0,Low
Arab Light,37.63,0.749,39.84,Low
Arab Light,39.02,0.539,14.07,Low
Bonny Light,39.35,0.543,10.0,Low
Arab Light,32.05,1.621,19.0,Medium
Arab Light,31.14,1.518,27.95,Low
Arab Light,36.81,0.479,10.0,Low
Ural,35.11,0.591,28.24,Low
Basrah Heavy,24.69,1.041,20.34,Medium
Arab Light,29.88,1.81,19.05,Medium
Arab Light,32.65,0.585,18.63,Low
Bonny Light,41.07,0.703,22.11,Low
Arab Light,37.75,0.857,11.03,Low
Arab Light,37.89,0.776,19.93,Low
Bonny Light,39.59,0.532,10.64,Low
Arab Light,35.62,1.337,33.22,Low
Basrah Heavy,27.03,1.49,18.84,High
Basrah Heavy,24.36,0.967,15.22,Medium
Basrah Heavy,26.0,0.98,10.0,Medium
Basrah Heavy,24.12,0.91,26.89,Medium
Arab Light,37.18,1.191,16.51,Low
Ural,34.24,1.597,19.63,Low
Ural,27.77,2.025,37.38,Medium
Basrah Heavy,25.87,1.432,24.46,High
Arab Light,37.38,0.467,10.0,Low
Basrah Heavy,29.58,0.877,18.46,Medium
Bonny Light,43.13,0.284,14.85,Low
Basrah Heavy,27.17,1.4,19.25,High
Arab Light,31.93,1.817,41.88,Medium
Basrah Heavy,22.84,2.5,28.0,High
Arab Light,39.14,0.554,13.32,Low
Arab Light,30.83,0.543,13.54,Low
Ural,32.5,0.719,21.5,Low
Basrah Heavy,27.75,2.1,19.77,High
Bonny Light,38.66,0.746,23.18,Low
Arab Light,38.28,0.629,41.33,Low
Ural,31.31,0.998,10.0,Low
Ural,29.31,0.989,11.26,Low
Bonny Light,40.32,0.382,10.0,Low
Basrah Heavy,21.93,2.5,15.51,High
Basrah Heavy,22.73,2.5,23.22,High
Basrah Heavy,23.15,1.26,13.67,Medium
Basrah Heavy,24.82,0.851,23.42,Medium
Arab Light,31.04,1.247,30.93,Low
Bonny Light,41.75,0.465,14.78,Low
Bonny Light,42.55,0.547,23.73,Low
Arab Light,33.1,1.407,27.06,Low
Arab Light,37.15,0.521,10.0,Low
Bonny Light,42.06,0.736,18.3,Low
Bonny Light,42.96,0.365,10.0,Low
Basrah Heavy,25.13,1.921,24.91,High
Arab Light,36.7,0.742,16.71,Low
Ural,33.45,1.41,25.86,Medium
Basrah Heavy,25.32,0.674,32.08,Medium
Arab Light,35.49,1.153,10.2,Medium
Bonny Light,40.24,0.438,12.08,Low
Bonny Light,38.95,0.687,29.16,Low
Bonny Light,38.96,1.033,12.58,Low
Ural,31.88,0.847,10.0,Low
Basrah Heavy,27.92,0.982,23.3,Low
Basrah Heavy,23.56,1.452,25.61,High
Arab Light,34.79,0.803,10.0,Low
Arab Light,31.48,0.794,11.52,Low
Arab Light,36.92,0.829,10.0,Medium
Arab Light,32.47,1.145,11.04,Low
Arab Light,36.32,0.985,20.96,Low
Ural,29.13,0.974,20.85,Medium
Basrah Heavy,27.41,1.011,17.12,Low
Basrah Heavy,29.99,1.192,10.43,Low
Basrah Heavy,27.03,1.314,12.53,Medium
Basrah Heavy,26.5,1.354,23.27,High
Bonny Light,37.28,0.606,10.0,Low
Arab Light,35.4,1.006,10.0,Low
Basrah Heavy,26.09,1.073,14.32,Low
Ural,31.61,1.091,17.84,Low
Arab Light,33.83,0.895,10.0,Low
Basrah Heavy,28.59,1.316,23.35,Medium
Basrah Heavy,26.0,2.267,26.72,High
Basrah Heavy,25.63,0.96,10.0,Medium
Ural,27.39,0.61,14.41,Low
Basrah Heavy,28.12,1.106,10.0,Medium
Basrah Heavy,24.23,1.076,14.88,High
Basrah Heavy,21.79,0.616,11.29,Medium
Arab Light,38.74,1.258,19.35,Low
Basrah Heavy,25.04,1.896,25.64,High
Ural,34.16,1.232,25.91,Low
Basrah Heavy,26.52,1.325,19.45,Medium
Arab Light,36.58,0.951,10.0,Low
Arab Light,37.35,0.665,10.0,Low
Arab Light,39.18,0.87,48.28,High
